Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt13133936,6,2022-05-09,"Desesperada","Lakewood",https://www.imdb.com/title/tt13133936,Película,5.0,84,2021,"Suspenso, Acción, Drama",8964,"2022-04-07","Phillip Noyce"
tt2463208,3,2022-05-09,"El proyecto Adam","The Adam Project",https://www.imdb.com/title/tt2463208,Película,6.7,106,2022,"Animación, Ciencia ficción, Acción, Aventura, Comedia",258265,"2022-03-11","Shawn Levy"
tt11138512,8,2022-05-04,"El hombre del norte","The Northman",https://www.imdb.com/title/tt11138512,Película,7.0,137,2022,"Drama, Aventura, Suspenso, Acción, Historia, Fantasía",300135,"2022-04-14","Robert Eggers"
tt6823148,7,2022-05-04,"Benedetta","Benedetta",https://www.imdb.com/title/tt6823148,Película,6.7,131,2021,"Biografía, Drama, Romance",29997,"2022-01-20","Paul Verhoeven"
tt0246578,9,2022-04-27,"Donnie Darko","Donnie Darko",https://www.imdb.com/title/tt0246578,Película,8.0,113,2001,"Ciencia ficción, Suspenso, Misterio, Drama",912453,"2001-01-19","Richard Kelly"
tt5246700,8,2022-04-13,"El final de todo","How It Ends",https://www.imdb.com/title/tt5246700,Película,5.1,113,2018,"Suspenso, Acción, Drama, Misterio, Terror",63584,"2018-07-13","David M. Rosenthal"
tt11470588,9,2022-03-26,"Apagón","Blackout",https://www.imdb.com/title/tt11470588,Miniserie de TV,6.3,45,2021,"Drama, Suspenso",1677,"2021-10-14",
tt8888462,9,2022-03-26,"Pachinko","Pachinko",https://www.imdb.com/title/tt8888462,Serie de TV,8.4,55,2022,"Drama",18157,"2022-03-25",
tt2180339,6,2022-03-18,"Aguas profundas","Deep Water",https://www.imdb.com/title/tt2180339,Película,5.5,115,2022,"Suspenso, Drama, Misterio, Crimen, Romance",71817,"2022-03-18","Adrian Lyne"
tt13406094,9,2022-03-08,"The White Lotus","The White Lotus",https://www.imdb.com/title/tt13406094,Serie de TV,8.0,60,2021,"Comedia, Drama, Misterio",325896,"2021-07-11",
tt1877830,10,2022-03-02,"Batman","The Batman",https://www.imdb.com/title/tt1877830,Película,7.8,176,2022,"Crimen, Misterio",929614,"2022-03-02","Matt Reeves"
tt11755740,3,2022-03-02,"La masacre de Texas","Texas Chainsaw Massacre",https://www.imdb.com/title/tt11755740,Película,4.7,83,2022,"Terror, Crimen, Suspenso, Drama, Misterio",70414,"2022-02-18","David Blue Garcia"
tt11245972,4,2022-03-02,"Scream. Grita","Scream",https://www.imdb.com/title/tt11245972,Película,6.3,114,2022,"Terror, Misterio, Suspenso",188048,"2022-01-13","Matt Bettinelli-Olpin,Tyler Gillett"
